Organization 1 has 5 low density subscriptions, 9 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 3 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 815 has 9 low density subscriptions, 8 high density subscriptions, and 6 physical servers with a total of 1 sockets. They are running 38 virtual machines, with 12 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 816 has 9 low density subscriptions, 5 high density subscriptions, and 9 physical servers with a total of 6 sockets. They are running 11 virtual machines, with 13 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 817 has 6 low density subscriptions, 1 high density subscriptions, and 8 physical servers with a total of 8 sockets. They are running 25 virtual machines, with 16 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 818 has 8 low density subscriptions, 6 high density subscriptions, and 4 physical servers with a total of 2 sockets. They are running 16 virtual machines, with 6 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 819 has 7 low density subscriptions, 1 high density subscriptions, and 4 physical servers with a total of 7 sockets. They are running 19 virtual machines, with 15 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 820 has 5 low density subscriptions, 9 high density subscriptions, and 8 physical servers with a total of 9 sockets. They are running 23 virtual machines, with 0 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 821 has 9 low density subscriptions, 6 high density subscriptions, and 3 physical servers with a total of 9 sockets. They are running 48 virtual machines, with 17 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 822 has 1 low density subscriptions, 1 high density subscriptions, and 3 physical servers with a total of 8 sockets. They are running 9 virtual machines, with 19 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 823 has 0 low density subscriptions, 5 high density subscriptions, and 1 physical servers with a total of 6 sockets. They are running 42 virtual machines, with 4 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 824 has 0 low density subscriptions, 6 high density subscriptions, and 8 physical servers with a total of 9 sockets. They are running 41 virtual machines, with 13 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 825 has 5 low density subscriptions, 2 high density subscriptions, and 1 physical servers with a total of 2 sockets. They are running 41 virtual machines, with 0 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 826 has 6 low density subscriptions, 2 high density subscriptions, and 6 physical servers with a total of 7 sockets. They are running 39 virtual machines, with 13 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 827 has 3 low density subscriptions, 9 high density subscriptions, and 5 physical servers with a total of 1 sockets. They are running 26 virtual machines, with 4 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 828 has 6 low density subscriptions, 2 high density subscriptions, and 9 physical servers with a total of 6 sockets. They are running 42 virtual machines, with 3 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 829 has 1 low density subscriptions, 8 high density subscriptions, and 7 physical servers with a total of 6 sockets. They are running 11 virtual machines, with 3 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 830 has 7 low density subscriptions, 6 high density subscriptions, and 5 physical servers with a total of 4 sockets. They are running 7 virtual machines, with 19 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 831 has 7 low density subscriptions, 3 high density subscriptions, and 2 physical servers with a total of 5 sockets. They are running 27 virtual machines, with 2 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 832 has 0 low density subscriptions, 4 high density subscriptions, and 7 physical servers with a total of 7 sockets. They are running 32 virtual machines, with 17 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 833 has 7 low density subscriptions, 1 high density subscriptions, and 6 physical servers with a total of 6 sockets. They are running 30 virtual machines, with 12 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 834 has 6 low density subscriptions, 6 high density subscriptions, and 9 physical servers with a total of 4 sockets. They are running 22 virtual machines, with 3 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 835 has 0 low density subscriptions, 6 high density subscriptions, and 8 physical servers with a total of 9 sockets. They are running 29 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 836 has 4 low density subscriptions, 8 high density subscriptions, and 5 physical servers with a total of 8 sockets. They are running 32 virtual machines, with 1 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 837 has 2 low density subscriptions, 8 high density subscriptions, and 3 physical servers with a total of 8 sockets. They are running 2 virtual machines, with 15 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 838 has 7 low density subscriptions, 8 high density subscriptions, and 3 physical servers with a total of 9 sockets. They are running 22 virtual machines, with 9 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 839 has 5 low density subscriptions, 5 high density subscriptions, and 1 physical servers with a total of 9 sockets. They are running 47 virtual machines, with 8 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 840 has 2 low density subscriptions, 2 high density subscriptions, and 2 physical servers with a total of 7 sockets. They are running 40 virtual machines, with 10 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 841 has 8 low density subscriptions, 2 high density subscriptions, and 5 physical servers with a total of 8 sockets. They are running 47 virtual machines, with 12 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 842 has 5 low density subscriptions, 5 high density subscriptions, and 5 physical servers with a total of 9 sockets. They are running 24 virtual machines, with 12 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 843 has 6 low density subscriptions, 9 high density subscriptions, and 4 physical servers with a total of 3 sockets. They are running 14 virtual machines, with 3 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 844 has 6 low density subscriptions, 5 high density subscriptions, and 1 physical servers with a total of 4 sockets. They are running 2 virtual machines, with 12 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 845 has 4 low density subscriptions, 4 high density subscriptions, and 6 physical servers with a total of 5 sockets. They are running 3 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 846 has 1 low density subscriptions, 1 high density subscriptions, and 9 physical servers with a total of 5 sockets. They are running 33 virtual machines, with 9 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 847 has 5 low density subscriptions, 1 high density subscriptions, and 9 physical servers with a total of 5 sockets. They are running 42 virtual machines, with 0 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 848 has 4 low density subscriptions, 8 high density subscriptions, and 8 physical servers with a total of 5 sockets. They are running 36 virtual machines, with 6 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 849 has 5 low density subscriptions, 8 high density subscriptions, and 3 physical servers with a total of 2 sockets. They are running 0 virtual machines, with 8 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 850 has 5 low density subscriptions, 3 high density subscriptions, and 6 physical servers with a total of 3 sockets. They are running 24 virtual machines, with 4 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 851 has 6 low density subscriptions, 0 high density subscriptions, and 2 physical servers with a total of 6 sockets. They are running 38 virtual machines, with 6 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 852 has 3 low density subscriptions, 9 high density subscriptions, and 6 physical servers with a total of 7 sockets. They are running 12 virtual machines, with 12 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 853 has 8 low density subscriptions, 2 high density subscriptions, and 3 physical servers with a total of 7 sockets. They are running 15 virtual machines, with 7 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 854 has 1 low density subscriptions, 9 high density subscriptions, and 2 physical servers with a total of 3 sockets. They are running 26 virtual machines, with 3 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 855 has 4 low density subscriptions, 3 high density subscriptions, and 3 physical servers with a total of 6 sockets. They are running 23 virtual machines, with 10 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 856 has 2 low density subscriptions, 6 high density subscriptions, and 7 physical servers with a total of 1 sockets. They are running 29 virtual machines, with 17 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 857 has 9 low density subscriptions, 4 high density subscriptions, and 8 physical servers with a total of 2 sockets. They are running 16 virtual machines, with 17 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 858 has 7 low density subscriptions, 7 high density subscriptions, and 5 physical servers with a total of 2 sockets. They are running 18 virtual machines, with 17 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 859 has 4 low density subscriptions, 5 high density subscriptions, and 7 physical servers with a total of 2 sockets. They are running 45 virtual machines, with 14 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 860 has 1 low density subscriptions, 5 high density subscriptions, and 2 physical servers with a total of 9 sockets. They are running 33 virtual machines, with 9 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 861 has 8 low density subscriptions, 3 high density subscriptions, and 6 physical servers with a total of 4 sockets. They are running 3 virtual machines, with 12 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 862 has 2 low density subscriptions, 8 high density subscriptions, and 8 physical servers with a total of 4 sockets. They are running 38 virtual machines, with 12 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 863 has 3 low density subscriptions, 7 high density subscriptions, and 6 physical servers with a total of 3 sockets. They are running 7 virtual machines, with 4 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 864 has 3 low density subscriptions, 1 high density subscriptions, and 5 physical servers with a total of 4 sockets. They are running 20 virtual machines, with 8 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 865 has 4 low density subscriptions, 7 high density subscriptions, and 9 physical servers with a total of 4 sockets. They are running 48 virtual machines, with 9 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 866 has 1 low density subscriptions, 5 high density subscriptions, and 3 physical servers with a total of 1 sockets. They are running 24 virtual machines, with 3 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 867 has 6 low density subscriptions, 4 high density subscriptions, and 7 physical servers with a total of 9 sockets. They are running 2 virtual machines, with 1 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 868 has 2 low density subscriptions, 0 high density subscriptions, and 2 physical servers with a total of 5 sockets. They are running 10 virtual machines, with 6 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 869 has 5 low density subscriptions, 5 high density subscriptions, and 9 physical servers with a total of 9 sockets. They are running 34 virtual machines, with 13 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 870 has 4 low density subscriptions, 7 high density subscriptions, and 8 physical servers with a total of 1 sockets. They are running 24 virtual machines, with 12 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 871 has 9 low density subscriptions, 8 high density subscriptions, and 2 physical servers with a total of 4 sockets. They are running 0 virtual machines, with 5 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 872 has 1 low density subscriptions, 1 high density subscriptions, and 2 physical servers with a total of 1 sockets. They are running 6 virtual machines, with 0 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 873 has 5 low density subscriptions, 6 high density subscriptions, and 2 physical servers with a total of 9 sockets. They are running 13 virtual machines, with 7 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 874 has 9 low density subscriptions, 6 high density subscriptions, and 8 physical servers with a total of 4 sockets. They are running 38 virtual machines, with 6 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 875 has 4 low density subscriptions, 9 high density subscriptions, and 9 physical servers with a total of 1 sockets. They are running 25 virtual machines, with 6 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 876 has 5 low density subscriptions, 0 high density subscriptions, and 4 physical servers with a total of 9 sockets. They are running 27 virtual machines, with 7 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 877 has 7 low density subscriptions, 2 high density subscriptions, and 6 physical servers with a total of 2 sockets. They are running 47 virtual machines, with 18 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 878 has 4 low density subscriptions, 8 high density subscriptions, and 2 physical servers with a total of 7 sockets. They are running 5 virtual machines, with 17 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 879 has 4 low density subscriptions, 6 high density subscriptions, and 2 physical servers with a total of 1 sockets. They are running 45 virtual machines, with 11 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 880 has 2 low density subscriptions, 6 high density subscriptions, and 1 physical servers with a total of 7 sockets. They are running 41 virtual machines, with 17 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 881 has 2 low density subscriptions, 3 high density subscriptions, and 8 physical servers with a total of 6 sockets. They are running 23 virtual machines, with 5 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 882 has 1 low density subscriptions, 4 high density subscriptions, and 7 physical servers with a total of 3 sockets. They are running 24 virtual machines, with 18 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 883 has 3 low density subscriptions, 4 high density subscriptions, and 3 physical servers with a total of 4 sockets. They are running 13 virtual machines, with 17 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 884 has 0 low density subscriptions, 4 high density subscriptions, and 7 physical servers with a total of 6 sockets. They are running 21 virtual machines, with 9 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 885 has 1 low density subscriptions, 1 high density subscriptions, and 5 physical servers with a total of 4 sockets. They are running 13 virtual machines, with 12 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 886 has 9 low density subscriptions, 4 high density subscriptions, and 2 physical servers with a total of 8 sockets. They are running 2 virtual machines, with 17 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 887 has 1 low density subscriptions, 3 high density subscriptions, and 1 physical servers with a total of 7 sockets. They are running 41 virtual machines, with 4 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 888 has 6 low density subscriptions, 8 high density subscriptions, and 5 physical servers with a total of 1 sockets. They are running 1 virtual machines, with 0 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 889 has 9 low density subscriptions, 9 high density subscriptions, and 5 physical servers with a total of 5 sockets. They are running 45 virtual machines, with 3 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 890 has 8 low density subscriptions, 2 high density subscriptions, and 8 physical servers with a total of 9 sockets. They are running 0 virtual machines, with 12 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 891 has 6 low density subscriptions, 1 high density subscriptions, and 1 physical servers with a total of 5 sockets. They are running 14 virtual machines, with 15 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 892 has 3 low density subscriptions, 7 high density subscriptions, and 1 physical servers with a total of 3 sockets. They are running 36 virtual machines, with 5 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 893 has 0 low density subscriptions, 8 high density subscriptions, and 8 physical servers with a total of 3 sockets. They are running 7 virtual machines, with 7 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 894 has 7 low density subscriptions, 3 high density subscriptions, and 1 physical servers with a total of 9 sockets. They are running 48 virtual machines, with 14 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 895 has 3 low density subscriptions, 3 high density subscriptions, and 7 physical servers with a total of 4 sockets. They are running 9 virtual machines, with 5 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 896 has 2 low density subscriptions, 9 high density subscriptions, and 5 physical servers with a total of 5 sockets. They are running 44 virtual machines, with 17 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 897 has 5 low density subscriptions, 0 high density subscriptions, and 7 physical servers with a total of 4 sockets. They are running 49 virtual machines, with 18 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 898 has 9 low density subscriptions, 7 high density subscriptions, and 8 physical servers with a total of 5 sockets. They are running 4 virtual machines, with 18 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 899 has 7 low density subscriptions, 7 high density subscriptions, and 7 physical servers with a total of 3 sockets. They are running 16 virtual machines, with 17 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 900 has 3 low density subscriptions, 5 high density subscriptions, and 7 physical servers with a total of 9 sockets. They are running 16 virtual machines, with 1 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 901 has 4 low density subscriptions, 3 high density subscriptions, and 7 physical servers with a total of 2 sockets. They are running 16 virtual machines, with 10 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 902 has 7 low density subscriptions, 7 high density subscriptions, and 1 physical servers with a total of 1 sockets. They are running 3 virtual machines, with 17 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 903 has 6 low density subscriptions, 8 high density subscriptions, and 8 physical servers with a total of 4 sockets. They are running 40 virtual machines, with 9 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 904 has 7 low density subscriptions, 5 high density subscriptions, and 6 physical servers with a total of 9 sockets. They are running 2 virtual machines, with 4 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 905 has 3 low density subscriptions, 5 high density subscriptions, and 3 physical servers with a total of 4 sockets. They are running 32 virtual machines, with 8 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 906 has 6 low density subscriptions, 1 high density subscriptions, and 3 physical servers with a total of 5 sockets. They are running 6 virtual machines, with 18 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 907 has 9 low density subscriptions, 7 high density subscriptions, and 5 physical servers with a total of 9 sockets. They are running 21 virtual machines, with 5 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 908 has 3 low density subscriptions, 6 high density subscriptions, and 1 physical servers with a total of 5 sockets. They are running 28 virtual machines, with 7 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 909 has 7 low density subscriptions, 1 high density subscriptions, and 5 physical servers with a total of 2 sockets. They are running 22 virtual machines, with 1 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 910 has 1 low density subscriptions, 8 high density subscriptions, and 8 physical servers with a total of 6 sockets. They are running 27 virtual machines, with 17 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 911 has 3 low density subscriptions, 1 high density subscriptions, and 4 physical servers with a total of 5 sockets. They are running 49 virtual machines, with 15 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 912 has 7 low density subscriptions, 2 high density subscriptions, and 9 physical servers with a total of 6 sockets. They are running 4 virtual machines, with 7 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 913 has 8 low density subscriptions, 0 high density subscriptions, and 7 physical servers with a total of 9 sockets. They are running 4 virtual machines, with 16 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 914 has 8 low density subscriptions, 2 high density subscriptions, and 7 physical servers with a total of 8 sockets. They are running 31 virtual machines, with 17 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 915 has 4 low density subscriptions, 4 high density subscriptions, and 6 physical servers with a total of 1 sockets. They are running 2 virtual machines, with 6 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 916 has 5 low density subscriptions, 4 high density subscriptions, and 3 physical servers with a total of 7 sockets. They are running 25 virtual machines, with 8 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 917 has 3 low density subscriptions, 8 high density subscriptions, and 7 physical servers with a total of 2 sockets. They are running 30 virtual machines, with 6 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 918 has 6 low density subscriptions, 4 high density subscriptions, and 7 physical servers with a total of 2 sockets. They are running 11 virtual machines, with 2 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 919 has 9 low density subscriptions, 7 high density subscriptions, and 6 physical servers with a total of 5 sockets. They are running 10 virtual machines, with 5 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 920 has 6 low density subscriptions, 5 high density subscriptions, and 1 physical servers with a total of 6 sockets. They are running 2 virtual machines, with 4 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 921 has 2 low density subscriptions, 2 high density subscriptions, and 3 physical servers with a total of 2 sockets. They are running 11 virtual machines, with 2 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 922 has 9 low density subscriptions, 3 high density subscriptions, and 2 physical servers with a total of 6 sockets. They are running 12 virtual machines, with 13 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 923 has 3 low density subscriptions, 0 high density subscriptions, and 7 physical servers with a total of 6 sockets. They are running 20 virtual machines, with 17 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 924 has 5 low density subscriptions, 7 high density subscriptions, and 2 physical servers with a total of 4 sockets. They are running 9 virtual machines, with 6 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 925 has 7 low density subscriptions, 9 high density subscriptions, and 5 physical servers with a total of 8 sockets. They are running 35 virtual machines, with 10 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 926 has 9 low density subscriptions, 6 high density subscriptions, and 3 physical servers with a total of 2 sockets. They are running 6 virtual machines, with 19 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 927 has 0 low density subscriptions, 9 high density subscriptions, and 2 physical servers with a total of 8 sockets. They are running 31 virtual machines, with 13 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 928 has 7 low density subscriptions, 8 high density subscriptions, and 6 physical servers with a total of 1 sockets. They are running 27 virtual machines, with 15 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 929 has 1 low density subscriptions, 1 high density subscriptions, and 3 physical servers with a total of 7 sockets. They are running 10 virtual machines, with 15 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 930 has 2 low density subscriptions, 7 high density subscriptions, and 2 physical servers with a total of 7 sockets. They are running 48 virtual machines, with 3 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 931 has 5 low density subscriptions, 6 high density subscriptions, and 6 physical servers with a total of 6 sockets. They are running 8 virtual machines, with 15 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 932 has 0 low density subscriptions, 8 high density subscriptions, and 3 physical servers with a total of 4 sockets. They are running 25 virtual machines, with 7 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 933 has 5 low density subscriptions, 4 high density subscriptions, and 7 physical servers with a total of 1 sockets. They are running 37 virtual machines, with 8 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 934 has 8 low density subscriptions, 3 high density subscriptions, and 7 physical servers with a total of 7 sockets. They are running 15 virtual machines, with 4 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 935 has 9 low density subscriptions, 5 high density subscriptions, and 3 physical servers with a total of 5 sockets. They are running 26 virtual machines, with 17 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 936 has 8 low density subscriptions, 2 high density subscriptions, and 1 physical servers with a total of 8 sockets. They are running 5 virtual machines, with 12 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 937 has 2 low density subscriptions, 0 high density subscriptions, and 5 physical servers with a total of 6 sockets. They are running 18 virtual machines, with 14 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 938 has 5 low density subscriptions, 1 high density subscriptions, and 6 physical servers with a total of 5 sockets. They are running 0 virtual machines, with 9 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 939 has 3 low density subscriptions, 4 high density subscriptions, and 8 physical servers with a total of 9 sockets. They are running 36 virtual machines, with 4 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 940 has 1 low density subscriptions, 0 high density subscriptions, and 4 physical servers with a total of 4 sockets. They are running 32 virtual machines, with 3 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 941 has 7 low density subscriptions, 5 high density subscriptions, and 7 physical servers with a total of 8 sockets. They are running 37 virtual machines, with 18 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 942 has 3 low density subscriptions, 8 high density subscriptions, and 6 physical servers with a total of 8 sockets. They are running 18 virtual machines, with 14 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 943 has 8 low density subscriptions, 3 high density subscriptions, and 6 physical servers with a total of 9 sockets. They are running 13 virtual machines, with 7 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 944 has 5 low density subscriptions, 9 high density subscriptions, and 3 physical servers with a total of 4 sockets. They are running 19 virtual machines, with 4 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 945 has 5 low density subscriptions, 1 high density subscriptions, and 1 physical servers with a total of 2 sockets. They are running 2 virtual machines, with 8 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 946 has 1 low density subscriptions, 5 high density subscriptions, and 6 physical servers with a total of 9 sockets. They are running 47 virtual machines, with 16 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 947 has 9 low density subscriptions, 9 high density subscriptions, and 2 physical servers with a total of 6 sockets. They are running 40 virtual machines, with 7 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 948 has 7 low density subscriptions, 0 high density subscriptions, and 4 physical servers with a total of 5 sockets. They are running 41 virtual machines, with 13 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 949 has 2 low density subscriptions, 8 high density subscriptions, and 1 physical servers with a total of 5 sockets. They are running 0 virtual machines, with 11 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 950 has 1 low density subscriptions, 1 high density subscriptions, and 8 physical servers with a total of 2 sockets. They are running 38 virtual machines, with 8 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 951 has 0 low density subscriptions, 6 high density subscriptions, and 2 physical servers with a total of 2 sockets. They are running 0 virtual machines, with 15 deployed in the cloud. There are 2 virtualization hosts. Is this organization compliant?
Organization 952 has 1 low density subscriptions, 9 high density subscriptions, and 4 physical servers with a total of 9 sockets. They are running 9 virtual machines, with 0 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 953 has 0 low density subscriptions, 7 high density subscriptions, and 7 physical servers with a total of 9 sockets. They are running 49 virtual machines, with 0 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 954 has 1 low density subscriptions, 1 high density subscriptions, and 6 physical servers with a total of 4 sockets. They are running 3 virtual machines, with 9 deployed in the cloud. There are 0 virtualization hosts. Is this organization compliant?
Organization 955 has 1 low density subscriptions, 4 high density subscriptions, and 7 physical servers with a total of 3 sockets. They are running 5 virtual machines, with 11 deployed in the cloud. There are 4 virtualization hosts. Is this organization compliant?
Organization 956 has 6 low density subscriptions, 9 high density subscriptions, and 7 physical servers with a total of 7 sockets. They are running 17 virtual machines, with 2 deployed in the cloud. There are 1 virtualization hosts. Is this organization compliant?
Organization 957 has 8 low density subscriptions, 8 high density subscriptions, and 2 physical servers with a total of 4 sockets. They are running 18 virtual machines, with 0 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
Organization 958 has 8 low density subscriptions, 6 high density subscriptions, and 6 physical servers with a total of 1 sockets. They are running 45 virtual machines, with 7 deployed in the cloud. There are 3 virtualization hosts. Is this organization compliant?
